"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2012,"Coventry","Pensilva Close, Hillfields","Pensilva Close, Hillfields","NA"
2012,"Coventry","Pool Meadow Bus Station","Pool Meadow Bus Station","NA"
2012,"Coventry","Pool meadow bus station","Pool meadow bus station","NA"
2012,"Coventry","Pool meadow bus station","Pool meadow bus station","NA"
2012,"Coventry","Pool Meadow Bus Station , Coventry.","Pool Meadow Bus Station , Coventry.","NA"
2012,"Coventry","Pool Meadow Bus Station.","Pool Meadow Bus Station.","NA"
2012,"Coventry","Pool Meadow Police Station, Coventry","Pool Meadow Police Station, Coventry","NA"
2012,"Coventry","Primrose hill st Coventry","Primrose hill st Coventry","NA"
2012,"Coventry","Primrose Hill Street","Primrose Hill Street","NA"
2012,"Coventry","Primrose Hill Street","Primrose Hill Street","NA"
2012,"Coventry","Primrose hill street","Primrose hill street","NA"
2012,"Coventry","Priory Hall","Priory Hall","NA"
2012,"Coventry","Quarry Wood Grove","Quarry Wood Grove","NA"
2012,"Coventry","Quinton Road","Quinton Road","NA"
2012,"Coventry","Raglan street","Raglan street","NA"
2012,"Coventry","Ramada hotel","Ramada hotel","NA"
2012,"Coventry","Rear of Clique, Hale Street","Rear of Clique, Hale Street","NA"
2012,"Coventry","Rear Yard, Coventry Central Police Station","Rear Yard, Coventry Central Police Station","NA"
2012,"Coventry","Ricoh Arena","Ricoh Arena","NA"
2012,"Coventry","Ricoh Arena","Ricoh Arena","NA"
2012,"Coventry","Riley square","Riley square","NA"
2012,"Coventry","Ringway queens","Ringway queens","NA"
2012,"Coventry","Roseberry Avenue, Coventry","Roseberry Avenue, Coventry","NA"
2012,"Coventry","Samuel Vale House, St Nicholas Street","Samuel Vale House, St Nicholas Street","NA"
2012,"Coventry","Samuel Vale House, St Nicholas Street","Samuel Vale House, St Nicholas Street","NA"
2012,"Coventry","Sewall Highway","Sewall Highway","NA"
2012,"Coventry","Sewell Highway","Sewell Highway","NA"
2012,"Coventry","Sky dome","Sky dome","NA"
2012,"Coventry","Sky dome","Sky dome","NA"
2012,"Coventry","Sky dome","Sky dome","NA"
2012,"Coventry","Sky dome","Sky dome","NA"
2012,"Coventry","Sky dome","Sky dome","NA"
2012,"Coventry","Sky Dome","Sky Dome","NA"
2012,"Coventry","Sky Dome, Coventry","Sky Dome, Coventry","NA"
2012,"Coventry","Skydome","Skydome","NA"
2012,"Coventry","Skydome","Skydome","NA"
2012,"Coventry","Skydome","Skydome","NA"
2012,"Coventry","Skydome carpark","Skydome carpark","NA"
2012,"Coventry","Skydome carpark","Skydome carpark","NA"
2012,"Coventry","Skydome carpark","Skydome carpark","NA"
2012,"Coventry","Skydome Complex","Skydome Complex","NA"
2012,"Coventry","Skydome Complex","Skydome Complex","NA"
2012,"Coventry","Skydome complex","Skydome complex","NA"
2012,"Coventry","Skydome complex","Skydome complex","NA"
2012,"Coventry","Skydome concourse","Skydome concourse","NA"
2012,"Coventry","Skydome Concourse","Skydome Concourse","NA"
2012,"Coventry","Skydome concourse","Skydome concourse","NA"
2012,"Coventry","Skydome Concourse","Skydome Concourse","NA"
2012,"Coventry","Skydome concourse","Skydome concourse","NA"
2012,"Coventry","Skydome concourse","Skydome concourse","NA"
2012,"Coventry","Skydome concourse","Skydome concourse","NA"
2012,"Coventry","Skydome Concourse ,Coventry.","Skydome Concourse ,Coventry.","NA"
2012,"Coventry","Skydome Concourse ,Coventry.","Skydome Concourse ,Coventry.","NA"
2012,"Coventry","Skydome concourse, Coventry city centre","Skydome concourse, Coventry city centre","NA"
2012,"Coventry","Skydome Concourse, Coventry.","Skydome Concourse, Coventry.","NA"
2012,"Coventry","Skydome concourse.","Skydome concourse.","NA"
2012,"Coventry","Skydome Coventry","Skydome Coventry","NA"
2012,"Coventry","Somerset Road","Somerset Road","NA"
2012,"Coventry","Spon st Coventry","Spon st Coventry","NA"
2012,"Coventry","Spon Street","Spon Street","NA"
2012,"Coventry","Spon Street","Spon Street","NA"
2012,"Coventry","Spon Street","Spon Street","NA"
2012,"Coventry","Spon Street","Spon Street","NA"
2012,"Coventry","Spon street","Spon street","NA"
2012,"Coventry","Spon Street , Coventry.","Spon Street , Coventry.","NA"
2012,"Coventry","Spon Street, Coventry","Spon Street, Coventry","NA"
2012,"Coventry","Spon Street, Coventry","Spon Street, Coventry","NA"
2012,"Coventry","Spon Street, Coventry","Spon Street, Coventry","NA"
2012,"Coventry","St Patricks Road","St Patricks Road","NA"
2012,"Coventry","St thomas road, longford, coventry","St thomas road, longford, coventry","NA"
2012,"Coventry","Station Square, Coventry","Station Square, Coventry","NA"
2012,"Coventry","Station Square, Coventry","Station Square, Coventry","NA"
2012,"Coventry","Station Square, Coventry","Station Square, Coventry","NA"
2012,"Coventry","Stoney  Stanton rd","Stoney  Stanton rd","NA"
2012,"Coventry","Stoney stanton road","Stoney stanton road","NA"
2012,"Coventry","Stoney stanton road","Stoney stanton road","NA"
2012,"Coventry","Stoney stanton road","Stoney stanton road","NA"
2012,"Coventry","Stoney stanton road","Stoney stanton road","NA"
2012,"Coventry","Stoney stanton road","Stoney stanton road","NA"
2012,"Coventry","Tamworth road","Tamworth road","NA"
2012,"Coventry","Tanyard Close ,Tanyard Farm ,Coventry.","Tanyard Close ,Tanyard Farm ,Coventry.","NA"
2012,"Coventry","Tarquin Close","Tarquin Close","NA"
2012,"Coventry","Taxi rank train station coventry","Taxi rank train station coventry","NA"
2012,"Coventry","The Burges","The Burges","NA"
2012,"Coventry","The Burgess","The Burgess","NA"
2012,"Coventry","The Burgess","The Burgess","NA"
2012,"Coventry","The Butts","The Butts","NA"
2012,"Coventry","The Castle Pub, Little Park St ,Coventry.","The Castle Pub, Little Park St ,Coventry.","NA"
2012,"Coventry","The Chesils","The Chesils","NA"
2012,"Coventry","The Flying Standard Public House","The Flying Standard Public House","NA"
2012,"Coventry","The Grapes ph o/s","The Grapes ph o/s","NA"
2012,"Coventry","Trafalgar  House","Trafalgar  House","NA"
2012,"Coventry","Trinity St","Trinity St","NA"
2012,"Coventry","Trinity Street","Trinity Street","NA"
2012,"Coventry","Trinity Street","Trinity Street","NA"
2012,"Coventry","Trinity Street","Trinity Street","NA"
2012,"Coventry","UHCW","UHCW","NA"
2012,"Coventry","University hospital","University hospital","NA"
2012,"Coventry","University Hospital Coventry","University Hospital Coventry","NA"
2012,"Coventry","Unniversity Hospital, Coventry","Unniversity Hospital, Coventry","NA"
2012,"Coventry","Upper Spon Street","Upper Spon Street","NA"
2012,"Coventry","Victoria street","Victoria street","NA"
2012,"Coventry","Wallace Rd","Wallace Rd","NA"
2012,"Coventry","Walsgrave Hospital.","Walsgrave Hospital.","NA"
2012,"Coventry","Walsgrave Rd","Walsgrave Rd","NA"
2012,"Coventry","Walsgrave Road","Walsgrave Road","NA"
2012,"Coventry","Warwick Rd","Warwick Rd","NA"
2012,"Coventry","Warwick row coventry","Warwick row coventry","NA"
2012,"Coventry","West Avenue","West Avenue","NA"
2012,"Coventry","WILLENHALL laNE","WILLENHALL laNE","NA"
2012,"Coventry","WILLENHALL laNE","WILLENHALL laNE","NA"
2012,"Coventry","Windsor St","Windsor St","NA"
2012,"Coventry","Windsor St","Windsor St","NA"
2012,"Coventry","Winsor Street","Winsor Street","NA"
2012,"Coventry","Woodway Lane ,Coventry.","Woodway Lane ,Coventry.","NA"
2012,"Coventry","Wyken Croft","Wyken Croft","NA"
2012,"Coventry","Yardley Street","Yardley Street","NA"
2012,"Dudley","Hagley road  Halesowen","Hagley road  Halesowen","NA"
2012,"Dudley","Bachelor Close","Bachelor Close","NA"
2012,"Dudley","Bearwood Road , Bearwood","Bearwood Road , Bearwood","NA"
2012,"Dudley","Bell St, Stourbridge","Bell St, Stourbridge","NA"
2012,"Dudley","Bhan Road,","Bhan Road,","NA"
2012,"Dudley","BHPS Front Office","BHPS Front Office","NA"
2012,"Dudley","Birmingham New Road","Birmingham New Road","NA"
2012,"Dudley","Birmingham Street, Stourbridge","Birmingham Street, Stourbridge","NA"
2012,"Dudley","Birmingham Street, Stourbridge","Birmingham Street, Stourbridge","NA"
2012,"Dudley","Bridfgnorth Road, Stourbridge","Bridfgnorth Road, Stourbridge","NA"
2012,"Dudley","Brierley Hill High Street","Brierley Hill High Street","NA"
2012,"Dudley","Bus station Dudley","Bus station Dudley","NA"
2012,"Dudley","Bus station, Merry Hill Centre","Bus station, Merry Hill Centre","NA"
2012,"Dudley","Castle Hill, Dudley","Castle Hill, Dudley","NA"
2012,"Dudley","Castle Hill, Dudley","Castle Hill, Dudley","NA"
2012,"Dudley","Charles Ave","Charles Ave","NA"
2012,"Dudley","Church St, B hill","Church St, B hill","NA"
2012,"Dudley","Church St, Stourbridge","Church St, Stourbridge","NA"
2012,"Dudley","Cinder Bank Dudley","Cinder Bank Dudley","NA"
2012,"Dudley","Clifton PH Sedgley","Clifton PH Sedgley","NA"
2012,"Dudley","Clydesdale tower","Clydesdale tower","NA"
2012,"Dudley","Cobden Street","Cobden Street","NA"
2012,"Dudley","Corbett Crescent Stourbridge","Corbett Crescent Stourbridge","NA"
2012,"Dudley","Coventry street","Coventry street","NA"
2012,"Dudley","Delph Rd, B Hill","Delph Rd, B Hill","NA"
2012,"Dudley","Dingle road dudley","Dingle road dudley","NA"
2012,"Dudley","Dudley Bus station","Dudley Bus station","NA"
2012,"Dudley","Dudley high street","Dudley high street","NA"
2012,"Dudley","Dudley police station","Dudley police station","NA"
2012,"Dudley","Envill Street , Stourbridge","Envill Street , Stourbridge","NA"
2012,"Dudley","Enville Street Stourbridge","Enville Street Stourbridge","NA"
2012,"Dudley","Front office brierley hill police station","Front office brierley hill police station","NA"
2012,"Dudley","Gaimage Street","Gaimage Street","NA"
2012,"Dudley","Hagley road","Hagley road","NA"
2012,"Dudley","Hagley Road Stourbridge","Hagley Road Stourbridge","NA"
2012,"Dudley","Halesowen bus station","Halesowen bus station","NA"
2012,"Dudley","Halesowen bus station","Halesowen bus station","NA"
2012,"Dudley","Halesowen police station","Halesowen police station","NA"
2012,"Dudley","Hall street Dudley","Hall street Dudley","NA"
2012,"Dudley","Harvester, hagley road","Harvester, hagley road","NA"
2012,"Dudley","High  Street , Brierley Hill","High  Street , Brierley Hill","NA"
2012,"Dudley","High st bhill","High st bhill","NA"
2012,"Dudley","High St Dudley","High St Dudley","NA"
2012,"Dudley","High st stourbridge","High st stourbridge","NA"
2012,"Dudley","High st stourbridge","High st stourbridge","NA"
2012,"Dudley","High St, B Hill","High St, B Hill","NA"
2012,"Dudley","High St, Lye","High St, Lye","NA"
2012,"Dudley","High St, Stourbridge","High St, Stourbridge","NA"
2012,"Dudley","High St, Stourbridge","High St, Stourbridge","NA"
2012,"Dudley","High St, Stourbridge","High St, Stourbridge","NA"
2012,"Dudley","High St, Stourbridge","High St, Stourbridge","NA"
2012,"Dudley","High St, Stourbridge","High St, Stourbridge","NA"
2012,"Dudley","High St, Stourbridge","High St, Stourbridge","NA"
2012,"Dudley","High St, Stourbridge","High St, Stourbridge","NA"
2012,"Dudley","High St, Stourbridge","High St, Stourbridge","NA"
2012,"Dudley","High street","High street","NA"
2012,"Dudley","High street","High street","NA"
2012,"Dudley","High street","High street","NA"
2012,"Dudley","High street","High street","NA"
2012,"Dudley","High street","High street","NA"
2012,"Dudley","HIgh Street , Stourbridge","HIgh Street , Stourbridge","NA"
2012,"Dudley","High Street , Stourbridge","High Street , Stourbridge","NA"
2012,"Dudley","High Street , Stourbridge","High Street , Stourbridge","NA"
2012,"Dudley","High Street Brierley Hill","High Street Brierley Hill","NA"
2012,"Dudley","High street brierley hill","High street brierley hill","NA"
2012,"Dudley","High street brierley hill","High street brierley hill","NA"
2012,"Dudley","High Street stourbridge","High Street stourbridge","NA"
2012,"Dudley","High street stourbridge","High street stourbridge","NA"
2012,"Dudley","High street stourbridge","High street stourbridge","NA"
2012,"Dudley","High Street Stourbridge","High Street Stourbridge","NA"
2012,"Dudley","High Street Stourbridge","High Street Stourbridge","NA"
2012,"Dudley","High Street, Dudley","High Street, Dudley","NA"
2012,"Dudley","High Street, Lye","High Street, Lye","NA"
2012,"Dudley","High Street, Lye.","High Street, Lye.","NA"
2012,"Dudley","High Street, Stourbridge","High Street, Stourbridge","NA"
2012,"Dudley","High Street, Stourbridge","High Street, Stourbridge","NA"
2012,"Dudley","High Street, Stourbridge","High Street, Stourbridge","NA"
2012,"Dudley","High Street, Stourbridge","High Street, Stourbridge","NA"
2012,"Dudley","Highland Road, Dudley","Highland Road, Dudley","NA"
2012,"Dudley","Hill Street, Brierley Hill","Hill Street, Brierley Hill","NA"
2012,"Dudley","Hillside Rd","Hillside Rd","NA"
2012,"Dudley","Home address","Home address","NA"
2012,"Dudley","Level street , Brierley hill","Level street , Brierley hill","NA"
2012,"Dudley","Lye high street","Lye high street","NA"
2012,"Dudley","Malvern Crescent","Malvern Crescent","NA"
2012,"Dudley","Market St, Kford","Market St, Kford","NA"
2012,"Dudley","Merry hill","Merry hill","NA"
2012,"Dudley","New St","New St","NA"
2012,"Dudley","New st dudley","New st dudley","NA"
2012,"Dudley","New st dudley","New st dudley","NA"
2012,"Dudley","New Street, Dudley","New Street, Dudley","NA"
2012,"Dudley","North Street, Dudley","North Street, Dudley","NA"
2012,"Dudley","Norton Road","Norton Road","NA"
2012,"Dudley","Oakfield road Wollescote","Oakfield road Wollescote","NA"
2012,"Dudley","OS BHPS","OS BHPS","NA"
2012,"Dudley","Overend rd","Overend rd","NA"
2012,"Dudley","Park road netherton","Park road netherton","NA"
2012,"Dudley","Pedmore Road,Lye","Pedmore Road,Lye","NA"
2012,"Dudley","Quarry Bank High Street","Quarry Bank High Street","NA"
2012,"Dudley","Queens way halesowen","Queens way halesowen","NA"
2012,"Dudley","Springfield Rd, Blackheath","Springfield Rd, Blackheath","NA"
2012,"Dudley","St Michaels Street West Bromwich","St Michaels Street West Bromwich","NA"
2012,"Dudley","Stourbridge High ST","Stourbridge High ST","NA"
2012,"Dudley","Stourbridge high street","Stourbridge high street","NA"
2012,"Dudley","Stourbridge high street","Stourbridge high street","NA"
2012,"Dudley","Stourbridge High Street","Stourbridge High Street","NA"
2012,"Dudley","Stourbridge high street","Stourbridge high street","NA"
2012,"Dudley","Stourbridge High Street","Stourbridge High Street","NA"
2012,"Dudley","Stourbridge town centre","Stourbridge town centre","NA"
2012,"Dudley","Sunderland drive amblecote","Sunderland drive amblecote","NA"
2012,"Dudley","Sunderland drive amblecote","Sunderland drive amblecote","NA"
2012,"Dudley","Sunderland drive amblecote","Sunderland drive amblecote","NA"
2012,"Dudley","Sunderland drive amblecote","Sunderland drive amblecote","NA"
2012,"Dudley","The Forge, Cradley Heath","The Forge, Cradley Heath","NA"
2012,"Dudley","Tower st, Dudley","Tower st, Dudley","NA"
2012,"Dudley","Tower Street, Dudley","Tower Street, Dudley","NA"
2012,"Dudley","Trident centre, Dudley","Trident centre, Dudley","NA"
2012,"Dudley","Wolverhampton Street Dudley","Wolverhampton Street Dudley","NA"
2012,"Dudley","Worcester St, Stourbridge","Worcester St, Stourbridge","NA"
2012,"Dudley","Worcester St, Stourbridge","Worcester St, Stourbridge","NA"
2012,"Dudley","Worcester St, Stourbridge","Worcester St, Stourbridge","NA"
2012,"Dudley","Worcester St, Stourbridge","Worcester St, Stourbridge","NA"
2012,"Dudley","Worcester St, Stourbridge","Worcester St, Stourbridge","NA"
2012,"Solihull","Anchor Lane","Anchor Lane","NA"
2012,"Solihull","Apres Solihull Town Centre","Apres Solihull Town Centre","NA"
2012,"Solihull","Aspen Dr CWTC","Aspen Dr CWTC","NA"
2012,"Solihull","Bham International","Bham International","NA"
2012,"Solihull","Bham International","Bham International","NA"
2012,"Solihull","BHX","BHX","NA"
2012,"Solihull","BHX","BHX","NA"
2012,"Solihull","Bhx","Bhx","NA"
2012,"Solihull","BHX Û Terminal 1","BHX Û Terminal 1","NA"
2012,"Solihull","Birch Croft","Birch Croft","NA"
2012,"Solihull","Birmingham airport","Birmingham airport","NA"
2012,"Solihull","Birmingham International  Airport","Birmingham International  Airport","NA"
2012,"Solihull","Blossomfield Road, Solihull","Blossomfield Road, Solihull","NA"
2012,"Solihull","Boldmere Gate","Boldmere Gate","NA"
2012,"Solihull","Bosworth drive","Bosworth drive","NA"
2012,"Solihull","Bp warwick rd olton","Bp warwick rd olton","NA"
2012,"Solihull","Bradford Road, Castle Brom","Bradford Road, Castle Brom","NA"
2012,"Solihull","Burges","Burges","NA"
2012,"Solihull","Burges","Burges","NA"
2012,"Solihull","Campden Green","Campden Green","NA"
2012,"Solihull","Chapelhouse rd","Chapelhouse rd","NA"
2012,"Solihull","Chester rd","Chester rd","NA"
2012,"Solihull","Chester rd","Chester rd","NA"
2012,"Solihull","Chester rd","Chester rd","NA"
2012,"Solihull","Chester Road, Castlebromwich","Chester Road, Castlebromwich","NA"
2012,"Solihull","Chester road, kingshurst","Chester road, kingshurst","NA"
2012,"Solihull","Churchill Road, Solihull","Churchill Road, Solihull","NA"
2012,"Solihull","Clopton Crescent","Clopton Crescent","NA"
2012,"Solihull","Clopton Crescent","Clopton Crescent","NA"
